userId,age,income_bracket,financial_goals,join_date
1134,29.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1689634800.0
1135,37.0,"$50,000-$75,000",Retirement|Investment Growth,1703372400.0
1136,37.0,"$50,000-$75,000",Emergency Fund,1683327600.0
1137,39.0,"$50,000-$75,000",Investment Growth,1685487600.0
1138,29.0,"$50,000-$75,000",Emergency Fund,1678230000.0
1139,25.0,"$30,000-$50,000",Debt Freedom,1672959600.0
1140,46.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1722121200.0
1141,27.0,"$30,000-$50,000",,1724281200.0
1142,34.0,"$50,000-$75,000",,1732489200.0
1143,38.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1732575600.0
1144,50.0,"$75,000-$100,000",Retirement|Investment Growth,1699138800.0
1145,34.0,"$75,000-$100,000",Investment Growth,1711148400.0
1146,41.0,"$50,000-$75,000",Investment Growth|Retirement,1709679600.0
1147,39.0,,Debt Freedom|Investment Growth,1699225200.0
1148,43.0,"$30,000-$50,000",Debt Freedom|Retirement,1731798000.0
1149,,"$75,000-$100,000",Debt Freedom,1729983600.0
1150,44.0,,Emergency Fund|Debt Freedom,1724194800.0
1151,48.0,"$75,000-$100,000",Investment Growth,1732230000.0
1152,29.0,"$50,000-$75,000",Investment Growth,1690239600.0
1153,25.0,"$30,000-$50,000",Retirement,1674687600.0
1154,39.0,"$30,000-$50,000",Retirement|Debt Freedom,1720825200.0
1155,44.0,"$75,000-$100,000",Retirement|Emergency Fund,1685055600.0
1156,46.0,"$75,000-$100,000",Investment Growth,1698102000.0
1157,55.0,"$50,000-$75,000",Investment Growth|Emergency Fund,1713567600.0
1158,38.0,"$50,000-$75,000",Debt Freedom|Emergency Fund,1729551600.0
1159,46.0,"$30,000-$50,000",Retirement|Investment Growth,1713049200.0
1160,30.0,"$75,000-$100,000",Debt Freedom|Investment Growth,1703631600.0
1161,43.0,"$75,000-$100,000",Emergency Fund,1730761200.0
1162,37.0,,Investment Growth|Retirement,1688425200.0
1163,54.0,"$75,000-$100,000",Emergency Fund,1723849200.0
1164,44.0,"$30,000-$50,000",Retirement,1681858800.0
1165,46.0,"$30,000-$50,000",,1693436400.0
1166,53.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1682636400.0
1167,,"$50,000-$75,000",Retirement,1734303600.0
1168,29.0,"$75,000-$100,000",Emergency Fund,1732575600.0
1169,31.0,"$50,000-$75,000",Debt Freedom,1728169200.0
1170,28.0,"$30,000-$50,000",Investment Growth|Emergency Fund,1678834800.0
1171,46.0,"$75,000-$100,000",Retirement|Debt Freedom,1714431600.0
1172,36.0,"$75,000-$100,000",Investment Growth,1705791600.0
1173,43.0,,Debt Freedom|Investment Growth,1677020400.0
1174,35.0,,Emergency Fund|Retirement,1678489200.0
1175,30.0,"$30,000-$50,000",Emergency Fund,1677538800.0
1176,53.0,"$50,000-$75,000",,
1177,26.0,"$50,000-$75,000",Retirement,1701644400.0
1178,46.0,"$30,000-$50,000",Debt Freedom,1678748400.0
1179,44.0,"$30,000-$50,000",Retirement|Investment Growth,1681686000.0
1180,,"$75,000-$100,000",Emergency Fund|Debt Freedom,1677366000.0
1181,,"$30,000-$50,000",Debt Freedom|Emergency Fund,1706742000.0
1182,47.0,"$75,000-$100,000",Debt Freedom,1726959600.0
1183,36.0,"$50,000-$75,000",Retirement,1724540400.0
1184,,"$75,000-$100,000",Retirement,1679266800.0
1185,39.0,"$30,000-$50,000",Emergency Fund,1707692400.0
1186,28.0,"$30,000-$50,000",Investment Growth,1704063600.0
1187,52.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1696114800.0
1188,42.0,"$30,000-$50,000",Investment Growth|Retirement,1684623600.0
1189,41.0,"$75,000-$100,000",Emergency Fund,1685055600.0
1190,,"$50,000-$75,000",Debt Freedom|Investment Growth,1675465200.0
1191,43.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1706482800.0
1192,32.0,"$30,000-$50,000",Emergency Fund,1703286000.0
1193,54.0,"$50,000-$75,000",,1724799600.0
1194,25.0,"$75,000-$100,000",Debt Freedom|Investment Growth,1732489200.0
1195,55.0,"$50,000-$75,000",Retirement|Investment Growth,1693522800.0
1196,25.0,"$75,000-$100,000",,1694559600.0
1197,34.0,"$50,000-$75,000",Emergency Fund|Retirement,1730242800.0
1198,44.0,,Emergency Fund|Debt Freedom,1673996400.0
1199,39.0,,Investment Growth,1679526000.0
1200,44.0,"$30,000-$50,000",Emergency Fund|Retirement,1683759600.0
1201,30.0,"$75,000-$100,000",Debt Freedom,1688770800.0
1202,52.0,"$50,000-$75,000",Debt Freedom,1695423600.0
1203,25.0,"$50,000-$75,000",Retirement,1679353200.0
1204,28.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1697497200.0
1205,35.0,"$50,000-$75,000",Emergency Fund|Retirement,1698534000.0
1206,30.0,"$50,000-$75,000",,1674774000.0
1207,31.0,"$75,000-$100,000",Retirement|Investment Growth,1675378800.0
1208,29.0,"$75,000-$100,000",Retirement,1723330800.0
1209,48.0,"$75,000-$100,000",Investment Growth,1718492400.0
1210,33.0,"$75,000-$100,000",Emergency Fund,1704495600.0
1211,35.0,"$30,000-$50,000",Investment Growth|Retirement,1722034800.0
1212,54.0,"$50,000-$75,000",Investment Growth|Debt Freedom,1683586800.0
1213,32.0,"$50,000-$75,000",Emergency Fund,1702681200.0
1214,27.0,"$75,000-$100,000",,1728428400.0
1215,31.0,"$50,000-$75,000",Investment Growth,1721516400.0
1216,40.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1678921200.0
1217,52.0,"$50,000-$75,000",Retirement|Investment Growth,1693868400.0
1218,28.0,"$50,000-$75,000",Debt Freedom,1703890800.0
1219,54.0,"$50,000-$75,000",Emergency Fund|Retirement,1688684400.0
1220,43.0,"$75,000-$100,000",Emergency Fund,1712617200.0
1221,39.0,"$75,000-$100,000",Retirement,1702681200.0
1222,,"$75,000-$100,000",Emergency Fund|Retirement,1688252400.0
1223,26.0,"$75,000-$100,000",Investment Growth,1723330800.0
1224,35.0,,Emergency Fund,1711321200.0
1225,30.0,"$50,000-$75,000",,1693004400.0
1226,29.0,,Debt Freedom,1675983600.0
1227,42.0,"$30,000-$50,000",Emergency Fund,1722985200.0
1228,39.0,"$50,000-$75,000",Debt Freedom,1710716400.0
1229,27.0,"$50,000-$75,000",Emergency Fund,1692140400.0
1230,35.0,"$50,000-$75,000",Emergency Fund,1675897200.0
1231,54.0,"$75,000-$100,000",Debt Freedom,1724367600.0
1232,55.0,"$30,000-$50,000",Investment Growth,1716418800.0
1233,31.0,"$30,000-$50,000",,1691449200.0
1234,,,Retirement,1733353200.0
1235,37.0,"$30,000-$50,000",Retirement|Investment Growth,1698361200.0
1236,40.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,1697929200.0
1237,39.0,"$75,000-$100,000",Investment Growth,1730934000.0
1238,47.0,"$30,000-$50,000",Investment Growth|Emergency Fund,1693263600.0
1239,,"$30,000-$50,000",Debt Freedom|Emergency Fund,1695596400.0
1240,38.0,"$50,000-$75,000",Debt Freedom|Retirement,1691881200.0
1241,51.0,,Retirement,1727823600.0
1242,55.0,"$50,000-$75,000",Debt Freedom,1680476400.0
1243,35.0,"$75,000-$100,000",Retirement,1690066800.0
1244,51.0,"$75,000-$100,000",Emergency Fund,1691535600.0
1245,32.0,"$30,000-$50,000",Investment Growth,1676242800.0
1246,34.0,,Debt Freedom,1683414000.0
1247,37.0,"$30,000-$50,000",Debt Freedom|Investment Growth,1734735600.0
1248,38.0,,Debt Freedom,1707087600.0
1249,44.0,"$50,000-$75,000",Emergency Fund,1690412400.0
1250,45.0,"$50,000-$75,000",Retirement,1722121200.0
1251,34.0,"$75,000-$100,000",Debt Freedom|Retirement,1705446000.0
1252,47.0,"$30,000-$50,000",Investment Growth,1712012400.0
1253,43.0,"$50,000-$75,000",Debt Freedom,1690844400.0
1254,40.0,"$30,000-$50,000",Retirement|Debt Freedom,1694818800.0
1255,48.0,"$30,000-$50,000",Debt Freedom|Retirement,1722207600.0
1256,42.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1679698800.0
1257,38.0,"$50,000-$75,000",Retirement,1683241200.0
1258,39.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1718924400.0
1259,48.0,"$50,000-$75,000",Debt Freedom|Retirement,
1260,53.0,"$75,000-$100,000",Retirement|Debt Freedom,1733094000.0
1261,44.0,"$50,000-$75,000",Investment Growth|Retirement,1701730800.0
1262,48.0,"$30,000-$50,000",Debt Freedom|Retirement,1685746800.0
1263,25.0,"$30,000-$50,000",Investment Growth,1677884400.0
1264,44.0,"$50,000-$75,000",Emergency Fund,1689548400.0
1265,51.0,"$50,000-$75,000",Emergency Fund|Investment Growth,1694991600.0
1266,45.0,"$30,000-$50,000",Retirement,1695769200.0
1267,29.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1724886000.0
1268,55.0,"$75,000-$100,000",Retirement|Debt Freedom,1693004400.0
1269,27.0,"$75,000-$100,000",Investment Growth,1701126000.0
1270,26.0,"$50,000-$75,000",Emergency Fund|Retirement,1682895600.0
1271,37.0,"$50,000-$75,000",Emergency Fund|Investment Growth,1679439600.0
1272,51.0,"$30,000-$50,000",,1735426800.0
1273,38.0,"$50,000-$75,000",Debt Freedom|Emergency Fund,1730156400.0
1274,25.0,"$50,000-$75,000",Investment Growth|Debt Freedom,1689375600.0
1275,30.0,"$30,000-$50,000",Retirement|Debt Freedom,1701558000.0
1276,36.0,"$75,000-$100,000",,1675465200.0
1277,45.0,"$30,000-$50,000",,1696719600.0
1278,43.0,"$75,000-$100,000",,
1279,40.0,"$75,000-$100,000",Debt Freedom,1726700400.0
1280,29.0,"$30,000-$50,000",Debt Freedom,1683068400.0
1281,45.0,"$50,000-$75,000",Retirement|Emergency Fund,1673996400.0
1282,46.0,"$50,000-$75,000",Emergency Fund,1731279600.0
1283,51.0,"$30,000-$50,000",Emergency Fund,1711753200.0
1284,,"$75,000-$100,000",Debt Freedom,1722121200.0
1285,35.0,"$75,000-$100,000",Debt Freedom|Investment Growth,1688598000.0
1286,30.0,"$75,000-$100,000",,1673391600.0
1287,36.0,"$75,000-$100,000",,1732748400.0
1288,53.0,"$75,000-$100,000",Emergency Fund,1734908400.0
1289,33.0,"$50,000-$75,000",Emergency Fund,1688166000.0
1290,33.0,"$50,000-$75,000",Emergency Fund|Retirement,1718751600.0
1291,45.0,"$30,000-$50,000",Retirement|Emergency Fund,1734649200.0
1292,45.0,"$50,000-$75,000",Debt Freedom|Emergency Fund,1695337200.0
1293,33.0,,Investment Growth,1724367600.0
1294,43.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1673218800.0
1295,40.0,"$75,000-$100,000",Emergency Fund,1713826800.0
1296,49.0,,Investment Growth|Emergency Fund,1694041200.0
1297,36.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1717369200.0
1298,38.0,"$75,000-$100,000",Retirement,1699052400.0
1299,55.0,"$75,000-$100,000",Retirement,1677279600.0
1300,34.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1730761200.0
1301,53.0,"$50,000-$75,000",Retirement,1694127600.0
1302,42.0,"$50,000-$75,000",Emergency Fund,1721170800.0
1303,47.0,"$50,000-$75,000",Retirement|Debt Freedom,1700607600.0
1304,29.0,"$50,000-$75,000",Investment Growth|Emergency Fund,1715727600.0
1305,43.0,,Retirement,1702594800.0
1306,25.0,"$50,000-$75,000",Retirement,1676415600.0
1307,38.0,,Investment Growth,1700002800.0
1308,51.0,"$50,000-$75,000",,1686956400.0
1309,41.0,"$50,000-$75,000",Debt Freedom|Emergency Fund,1673564400.0
1310,29.0,"$50,000-$75,000",Investment Growth,1731798000.0
1311,49.0,,Investment Growth,1714345200.0
1312,52.0,"$50,000-$75,000",Investment Growth,1706396400.0
1313,27.0,"$50,000-$75,000",,1695337200.0
1314,51.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,1715814000.0
1315,26.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1674601200.0
1316,30.0,"$50,000-$75,000",Emergency Fund|Investment Growth,1682377200.0
1317,26.0,"$50,000-$75,000",Debt Freedom,1685314800.0
1318,38.0,"$50,000-$75,000",,1694041200.0
1319,53.0,"$75,000-$100,000",Debt Freedom|Investment Growth,1675897200.0
1320,48.0,"$30,000-$50,000",Emergency Fund,1699225200.0
1321,25.0,"$75,000-$100,000",Investment Growth,1689462000.0
1322,34.0,"$75,000-$100,000",Debt Freedom,1714345200.0
1323,54.0,"$75,000-$100,000",Emergency Fund,1676502000.0
1324,54.0,"$50,000-$75,000",Retirement|Debt Freedom,1730588400.0
1325,33.0,"$75,000-$100,000",Retirement,1701212400.0
1326,44.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1720393200.0
1327,54.0,"$50,000-$75,000",Investment Growth|Debt Freedom,1716591600.0
1328,47.0,"$50,000-$75,000",Debt Freedom,1722121200.0
1329,27.0,"$75,000-$100,000",Emergency Fund|Retirement,1675119600.0
1330,43.0,"$50,000-$75,000",Debt Freedom|Retirement,1715900400.0
1331,37.0,"$30,000-$50,000",Debt Freedom,1691190000.0
1332,43.0,"$30,000-$50,000",Investment Growth|Retirement,1709506800.0
1333,33.0,"$50,000-$75,000",Investment Growth|Debt Freedom,1716246000.0
1334,34.0,"$50,000-$75,000",Investment Growth,1719615600.0
1335,49.0,"$30,000-$50,000",Investment Growth,1709506800.0
1336,38.0,"$30,000-$50,000",Debt Freedom,1708642800.0
1337,35.0,"$30,000-$50,000",Debt Freedom|Retirement,1725663600.0
1338,45.0,"$75,000-$100,000",Investment Growth,1693695600.0
1339,54.0,"$30,000-$50,000",Debt Freedom|Investment Growth,1713308400.0
1340,46.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1686610800.0
1341,48.0,"$30,000-$50,000",Investment Growth|Retirement,1709420400.0
1342,53.0,"$30,000-$50,000",Investment Growth,1677798000.0
1343,37.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1728169200.0
1344,38.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1708988400.0
1345,29.0,"$50,000-$75,000",Emergency Fund,1679007600.0
1346,47.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1712358000.0
1347,43.0,"$30,000-$50,000",Emergency Fund,1705273200.0
1348,47.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1698534000.0
1349,50.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1691190000.0
1350,29.0,"$50,000-$75,000",Investment Growth|Emergency Fund,1702940400.0
1351,43.0,"$50,000-$75,000",Investment Growth|Emergency Fund,1718924400.0
1352,40.0,"$30,000-$50,000",Emergency Fund,1690758000.0
1353,33.0,"$75,000-$100,000",Emergency Fund,1722898800.0
1354,54.0,,Retirement,1675378800.0
1355,28.0,"$75,000-$100,000",Debt Freedom,1718751600.0
1356,33.0,"$30,000-$50,000",Retirement,1712876400.0
1357,44.0,"$50,000-$75,000",Debt Freedom,1684191600.0
1358,26.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1677020400.0
1359,45.0,,Debt Freedom|Retirement,1720479600.0
1360,44.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1729378800.0
1361,50.0,"$50,000-$75,000",,1708470000.0
1362,40.0,"$50,000-$75,000",Emergency Fund|Retirement,1694473200.0
1363,46.0,"$50,000-$75,000",Retirement,1700694000.0
1364,41.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1711666800.0
1365,46.0,"$30,000-$50,000",Retirement,1716850800.0
1366,49.0,"$30,000-$50,000",Retirement,1689462000.0
1367,50.0,"$30,000-$50,000",Emergency Fund,1714431600.0
1368,50.0,"$75,000-$100,000",Investment Growth|Retirement,1699570800.0
1369,36.0,"$50,000-$75,000",Investment Growth|Retirement,1708210800.0
1370,38.0,"$30,000-$50,000",,1674169200.0
1371,31.0,"$75,000-$100,000",Debt Freedom|Retirement,1706310000.0
1372,42.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1686697200.0
1373,40.0,"$75,000-$100,000",Investment Growth,1734994800.0
1374,33.0,"$75,000-$100,000",Debt Freedom,1696892400.0
1375,39.0,"$30,000-$50,000",Emergency Fund,1709074800.0
1376,52.0,"$50,000-$75,000",Investment Growth,1723158000.0
1377,46.0,"$75,000-$100,000",Retirement,1678489200.0
1378,47.0,"$50,000-$75,000",,1711926000.0
1379,31.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,1734735600.0
1380,44.0,"$30,000-$50,000",Investment Growth|Retirement,1676761200.0
1381,26.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1701385200.0
1382,40.0,"$50,000-$75,000",Debt Freedom,1682463600.0
1383,50.0,"$30,000-$50,000",Retirement|Debt Freedom,1710630000.0
1384,39.0,"$75,000-$100,000",Debt Freedom|Investment Growth,1702508400.0
1385,49.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,1707001200.0
1386,,"$50,000-$75,000",Emergency Fund,1730329200.0
1387,49.0,"$50,000-$75,000",Retirement,1690758000.0
1388,28.0,,Retirement,1678575600.0
1389,35.0,"$75,000-$100,000",Retirement|Investment Growth,
1390,54.0,"$50,000-$75,000",Debt Freedom|Retirement,1690930800.0
1391,39.0,"$30,000-$50,000",Debt Freedom|Investment Growth,1717282800.0
1392,48.0,"$30,000-$50,000",Investment Growth,1704150000.0
1393,35.0,"$30,000-$50,000",,1704322800.0
1394,41.0,"$50,000-$75,000",Investment Growth|Retirement,1681340400.0
1395,55.0,"$30,000-$50,000",Retirement|Emergency Fund,1729465200.0
1396,53.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1688166000.0
1397,29.0,"$30,000-$50,000",Debt Freedom,1691017200.0
1398,46.0,"$75,000-$100,000",Investment Growth,1718406000.0
1399,48.0,"$75,000-$100,000",Retirement,1690498800.0
1400,45.0,"$50,000-$75,000",Debt Freedom,1714086000.0
1401,,"$50,000-$75,000",Retirement|Debt Freedom,1703372400.0
1402,27.0,"$30,000-$50,000",Investment Growth|Retirement,1719961200.0
1403,52.0,"$75,000-$100,000",Investment Growth|Retirement,1730588400.0
1404,55.0,"$75,000-$100,000",Retirement|Debt Freedom,1683932400.0
1405,29.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1692486000.0
1406,48.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,1705618800.0
1407,43.0,"$30,000-$50,000",Debt Freedom|Investment Growth,1673737200.0
1408,26.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1702940400.0
1409,52.0,"$75,000-$100,000",Investment Growth,1720738800.0
1410,48.0,"$75,000-$100,000",,1688943600.0
1411,50.0,"$75,000-$100,000",Emergency Fund,1695769200.0
1412,36.0,"$30,000-$50,000",,1692572400.0
1413,51.0,"$75,000-$100,000",Emergency Fund,1711062000.0
1414,55.0,,Investment Growth,1717714800.0
1415,51.0,"$30,000-$50,000",Retirement|Emergency Fund,1718924400.0
1416,,"$75,000-$100,000",Emergency Fund,1732662000.0
1417,45.0,"$30,000-$50,000",Investment Growth,1697151600.0
1418,,"$50,000-$75,000",Investment Growth|Retirement,1699052400.0
1419,,"$75,000-$100,000",Debt Freedom,1708815600.0
1420,40.0,"$30,000-$50,000",Investment Growth,1689634800.0
1421,36.0,,,1708038000.0
1422,48.0,"$75,000-$100,000",Retirement|Emergency Fund,1701471600.0
1423,,"$50,000-$75,000",Retirement|Emergency Fund,1683500400.0
1424,44.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1695078000.0
1425,39.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1680303600.0
1426,44.0,"$50,000-$75,000",Investment Growth|Retirement,1681772400.0
1427,33.0,"$75,000-$100,000",Emergency Fund|Retirement,1694732400.0
1428,27.0,,Retirement|Emergency Fund,1724799600.0
1429,33.0,"$75,000-$100,000",Investment Growth|Debt Freedom,1724713200.0
1430,45.0,"$75,000-$100,000",Emergency Fund,1735254000.0
1431,38.0,"$75,000-$100,000",Investment Growth|Retirement,1718751600.0
1432,,"$75,000-$100,000",Debt Freedom|Investment Growth,1674601200.0
1433,35.0,,,1712876400.0
1434,33.0,"$75,000-$100,000",Emergency Fund,1676674800.0
1435,47.0,"$50,000-$75,000",Retirement,1720911600.0
1436,48.0,"$50,000-$75,000",Investment Growth,1701990000.0
1437,42.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1708383600.0
1438,40.0,"$50,000-$75,000",Emergency Fund|Retirement,1704495600.0
1439,55.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1707692400.0
1440,27.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1719615600.0
1441,29.0,"$30,000-$50,000",Debt Freedom|Retirement,
1442,26.0,"$30,000-$50,000",Debt Freedom|Retirement,1733958000.0
1443,32.0,"$50,000-$75,000",Retirement,1694041200.0
1444,52.0,"$50,000-$75,000",Investment Growth,1718406000.0
1445,45.0,"$50,000-$75,000",Emergency Fund|Retirement,1693263600.0
1446,36.0,,Retirement|Emergency Fund,1680994800.0
1447,50.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1703286000.0
1448,45.0,"$30,000-$50,000",Investment Growth,1716505200.0
1449,27.0,"$30,000-$50,000",Debt Freedom|Retirement,1734994800.0
1450,46.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1710630000.0
1451,55.0,"$50,000-$75,000",Emergency Fund|Investment Growth,1699398000.0
1452,43.0,"$75,000-$100,000",,1720220400.0
1453,43.0,"$30,000-$50,000",,1704150000.0
1454,49.0,"$75,000-$100,000",Retirement|Emergency Fund,1725663600.0
1455,30.0,"$30,000-$50,000",Debt Freedom|Retirement,1708210800.0
1456,55.0,"$50,000-$75,000",Retirement|Investment Growth,1700002800.0
1457,47.0,"$50,000-$75,000",Emergency Fund,1692572400.0
1458,45.0,"$50,000-$75,000",Emergency Fund,1726095600.0
1459,42.0,,Debt Freedom,1719270000.0
1460,,"$50,000-$75,000",Debt Freedom|Investment Growth,1727391600.0
1461,42.0,"$50,000-$75,000",Emergency Fund,1711494000.0
1462,53.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1720047600.0
1463,50.0,"$50,000-$75,000",,1732921200.0
1464,41.0,"$30,000-$50,000",Emergency Fund,1730761200.0
1465,37.0,"$30,000-$50,000",Emergency Fund,1684969200.0
1466,51.0,"$50,000-$75,000",Investment Growth,1730847600.0
1467,51.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1697497200.0
1468,39.0,"$50,000-$75,000",,1710975600.0
1469,40.0,,Investment Growth|Retirement,1697929200.0
1470,47.0,,Debt Freedom,1724454000.0
1471,43.0,"$75,000-$100,000",Debt Freedom,1699311600.0
1472,36.0,"$30,000-$50,000",Retirement|Emergency Fund,1734303600.0
1473,,"$50,000-$75,000",,1735513200.0
1474,47.0,"$30,000-$50,000",Debt Freedom,1690671600.0
1475,28.0,"$30,000-$50,000",Retirement|Investment Growth,1705359600.0
1476,37.0,,Emergency Fund,1709852400.0
1477,47.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1709074800.0
1478,51.0,"$50,000-$75,000",Investment Growth,1712185200.0
1479,47.0,"$75,000-$100,000",Investment Growth,1719961200.0
1480,55.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1722898800.0
1481,49.0,"$30,000-$50,000",,1716505200.0
1482,41.0,"$50,000-$75,000",Retirement,1706828400.0
1483,49.0,"$30,000-$50,000",Investment Growth|Emergency Fund,1725318000.0
1484,46.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1686006000.0
1485,55.0,"$30,000-$50,000",Debt Freedom,1686006000.0
1486,41.0,,Emergency Fund,1711321200.0
1487,,"$30,000-$50,000",Retirement|Debt Freedom,1700607600.0
1488,46.0,,Retirement,1700953200.0
1489,29.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1706742000.0
1490,28.0,"$75,000-$100,000",Debt Freedom,1714604400.0
1491,45.0,"$75,000-$100,000",Retirement|Emergency Fund,1694646000.0
1492,45.0,"$30,000-$50,000",Retirement|Debt Freedom,1687906800.0
1493,37.0,"$30,000-$50,000",Investment Growth,1685228400.0
1494,,"$75,000-$100,000",Retirement|Emergency Fund,1708383600.0
1495,38.0,"$50,000-$75,000",Investment Growth|Retirement,1731366000.0
1496,48.0,"$30,000-$50,000",Retirement,1730847600.0
1497,36.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1707260400.0
1498,28.0,"$50,000-$75,000",Debt Freedom|Investment Growth,1721257200.0
1499,46.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1722726000.0
1500,33.0,"$75,000-$100,000",Investment Growth,1689980400.0
1501,35.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1726700400.0
1502,45.0,"$75,000-$100,000",Debt Freedom,1677193200.0
1503,27.0,"$50,000-$75,000",Retirement,1678316400.0
1504,54.0,"$50,000-$75,000",Emergency Fund,1722207600.0
1505,53.0,"$50,000-$75,000",Retirement|Emergency Fund,1713999600.0
1506,33.0,"$30,000-$50,000",,1685487600.0
1507,28.0,"$30,000-$50,000",Investment Growth|Retirement,1674255600.0
1508,51.0,"$50,000-$75,000",Investment Growth,1715986800.0
1509,43.0,"$50,000-$75,000",,1678575600.0
1510,44.0,"$50,000-$75,000",Retirement,1700866800.0
1511,50.0,"$30,000-$50,000",Debt Freedom|Emergency Fund,1709420400.0
1512,36.0,"$30,000-$50,000",Investment Growth,1687215600.0
1513,32.0,"$50,000-$75,000",Emergency Fund|Debt Freedom,1730588400.0
1514,27.0,"$30,000-$50,000",Debt Freedom,1690153200.0
1515,37.0,"$75,000-$100,000",Emergency Fund|Retirement,1710025200.0
1516,35.0,"$50,000-$75,000",Investment Growth,1679871600.0
1517,54.0,"$75,000-$100,000",Debt Freedom,1681945200.0
1518,30.0,"$30,000-$50,000",Debt Freedom,1673305200.0
1519,48.0,"$75,000-$100,000",Emergency Fund|Investment Growth,1683241200.0
1520,29.0,"$75,000-$100,000",,1680562800.0
1521,,"$30,000-$50,000",Investment Growth,1719356400.0
1522,51.0,"$50,000-$75,000",Investment Growth,1732316400.0
1523,52.0,,Debt Freedom,1689980400.0
1524,53.0,"$30,000-$50,000",Retirement,1700953200.0
1525,32.0,"$75,000-$100,000",Investment Growth|Emergency Fund,1691794800.0
1526,51.0,"$30,000-$50,000",Emergency Fund|Debt Freedom,1678057200.0
1527,53.0,"$75,000-$100,000",Debt Freedom|Emergency Fund,1711926000.0
1528,,"$30,000-$50,000",Debt Freedom|Emergency Fund,1700694000.0
1529,48.0,"$50,000-$75,000",Emergency Fund|Investment Growth,
1530,43.0,"$75,000-$100,000",Investment Growth|Retirement,1708124400.0
1531,53.0,"$30,000-$50,000",Investment Growth|Debt Freedom,1700521200.0
1532,52.0,"$50,000-$75,000",Retirement|Debt Freedom,1688770800.0
1533,25.0,"$30,000-$50,000",Debt Freedom,1686524400.0
1534,55.0,"$50,000-$75,000",Investment Growth|Retirement,1686610800.0
1535,46.0,,,1701126000.0
1536,44.0,"$30,000-$50,000",Retirement|Investment Growth,1699743600.0
1537,35.0,"$75,000-$100,000",Retirement,1702681200.0
1538,50.0,"$30,000-$50,000",Debt Freedom|Investment Growth,1709420400.0
1539,55.0,"$30,000-$50,000",Investment Growth|Retirement,1723590000.0
1540,47.0,"$30,000-$50,000",,1723158000.0
1541,32.0,"$75,000-$100,000",Investment Growth,1674169200.0
1542,53.0,,Debt Freedom|Emergency Fund,1725836400.0
1543,55.0,"$50,000-$75,000",Retirement|Investment Growth,1704668400.0
1544,26.0,"$30,000-$50,000",Emergency Fund|Investment Growth,1685401200.0
1545,55.0,"$50,000-$75,000",Retirement,1725318000.0
1546,34.0,"$75,000-$100,000",Retirement|Investment Growth,1673478000.0
1547,31.0,"$30,000-$50,000",Debt Freedom|Retirement,1685574000.0
